🕘️更新时间,#genre#
2026-04-13 06:57:24,https://iptv.catvod.com/live.php?id=CCTV1&line=11

📺央视频道,#genre#
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=11
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=6
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=10
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=7
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=16
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=21
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=15
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=19
CCTV-1,http://154.37.212.176/ysp.php?pid=600001859&id=2024078201
CCTV-1,http://115.171.216.58:4000/rtp/225.1.8.81:8176
CCTV-2,https://iptv.catvod.com/live.php?id=CCTV2&line=10
CCTV-2,https://iptv.catvod.com/live.php?id=CCTV2&line=7
CCTV-2,https://iptv.catvod.com/live.php?id=CCTV2&line=9
CCTV-2,https://iptv.catvod.com/live.php?id=CCTV2&line=6
CCTV-2,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv2hd
CCTV-2,http://38.75.136.137:98/gslb/dsdqbv/cctv2hd.m3u8?auth=test20251009
CCTV-2,http://154.37.212.176/ysp.php?pid=600001800&id=2024075401
CCTV-2,http://114.254.95.53:8888/rtp/239.3.1.60:8084
CCTV-2,http://115.171.80.124:1688/rtp/225.1.8.2:8084
CCTV-2,http://171.119.205.232:6000/rtp/226.0.2.154:9144
CCTV-3,http://38.75.136.137:98/gslb/dsdqbv/cctv3hd.m3u8?auth=test20251009
CCTV-3,http://154.37.212.176/ysp.php?pid=600001801&id=2024068501
CCTV-3,http://114.254.95.53:8888/rtp/239.3.1.172:8001
CCTV-3,http://220.176.218.165:9000/udp/239.252.219.252:5140
CCTV-3,http://124.114.101.175:6789/rtp/239.112.205.221:5140
CCTV-3,http://220.176.218.165:9000/udp/239.252.220.193:5140
CCTV-3,http://119.91.7.169:2026/dszb/IPTV.php?id=CCTV3
CCTV-3,http://171.119.205.232:6000/rtp/226.0.2.208:9576
CCTV-3,http://39.77.157.57:4002/rtp/239.253.254.191:8000
CCTV-3,http://39.77.26.138:4002/rtp/239.253.254.191:8000
CCTV-4,https://iptv.catvod.com/live.php?id=CCTV4&line=6
CCTV-4,https://iptv.catvod.com/live.php?id=CCTV4&line=5
CCTV-4,https://iptv.catvod.com/live.php?id=CCTV4&line=8
CCTV-4,https://iptv.catvod.com/live.php?id=CCTV4&line=10
CCTV-4,https://iptv.catvod.com/live.php?id=CCTV4%E7%BE%8E%E6%B4%B2&line=2
CCTV-4,https://iptv.catvod.com/live.php?id=CCTV4&line=7
CCTV-4,http://154.37.212.176/ysp.php?pid=600001814&id=2029797101
CCTV-4,http://60.4.30.55:8077/rtp/239.253.92.251:6141
CCTV-4,http://39.77.157.57:4002/rtp/239.253.254.111:8000
CCTV-4,http://114.254.95.53:8888/rtp/239.3.1.105:8092
CCTV-5,https://iptv.catvod.com/live.php?id=CCTV5&line=13
CCTV-5,https://iptv.catvod.com/live.php?id=CCTV5&line=6
CCTV-5,https://iptv.catvod.com/live.php?id=CCTV5&line=9
CCTV-5,https://iptv.catvod.com/live.php?id=CCTV5&line=7
CCTV-5,https://iptv.catvod.com/live.php?id=CCTV5&line=8
CCTV-5,https://iptv.catvod.com/live.php?id=CCTV5&line=12
CCTV-5,https://iptv.catvod.com/live.php?id=CCTV5&line=14
CCTV-5,https://iptv.catvod.com/live.php?id=CCTV5&line=15
CCTV-5,http://115.171.216.58:4000/rtp/225.1.8.89:8000
CCTV-5,http://106.87.49.200:8888/rtp/235.254.198.54:1492
CCTV-5+,http://107.150.60.122/live/cctv5p.m3u8
CCTV-5+,http://106.87.49.200:8888/rtp/235.254.198.122:1764
CCTV-5+,http://123.118.56.249:8686/rtp/239.3.1.130:8004
CCTV-5+,http://124.112.240.249:4022/rtp/238.1.78.237:7768
CCTV-5+,http://171.8.168.199:8800/rtp/239.16.20.5:10050
CCTV-5+,http://114.254.95.53:8888/rtp/239.3.1.130:8004
CCTV-5+,http://171.119.205.232:6000/rtp/226.0.2.168:9256
CCTV-5+,http://220.176.218.165:9000/udp/239.252.219.72:5140
CCTV-5+,http://124.114.101.175:6789/rtp/239.111.205.13:5140
CCTV-5+,http://119.91.7.169:2026/dszb/IPTV.php?id=CCTV5p
CCTV-6,http://38.75.136.137:98/gslb/dsdqbv/cctv6hd.m3u8?auth=test20251009
CCTV-6,http://154.37.212.176/ysp.php?pid=600108442&id=2013693901
CCTV-6,http://114.254.95.53:8888/rtp/239.3.1.174:8001
CCTV-6,http://106.116.126.206:4022/rtp/239.254.201.154:7207
CCTV-6,http://171.119.205.232:6000/rtp/226.0.2.210:9592
CCTV-6,http://124.112.240.249:4022/rtp/238.1.78.172:7248
CCTV-6,http://124.114.101.175:6789/rtp/239.112.205.223:5140
CCTV-6,http://220.176.218.165:9000/udp/239.252.219.237:5140
CCTV-6,http://220.176.218.165:9000/udp/239.252.220.195:5140
CCTV-6,http://119.91.7.169:2026/dszb/IPTV.php?id=CCTV6
CCTV-7,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv7hd
CCTV-7,http://154.37.212.176/ysp.php?pid=600004092&id=2024072001
CCTV-7,http://114.254.95.53:8888/rtp/239.3.1.61:8104
CCTV-7,http://106.116.126.206:4022/rtp/239.254.200.159:6000
CCTV-7,http://124.112.240.249:4022/rtp/238.1.78.239:7784
CCTV-7,http://124.114.101.175:6789/rtp/239.112.205.83:5140
CCTV-7,http://220.176.218.165:9000/udp/239.252.220.185:5140
